,codigo_do_municipio,ano,proficiencia_media_matematica
166,2611002,2009,176.77857142857144
167,2611002,2010,176.71904761904761
168,2611002,2011,188.70000000000002
169,2611002,2012,205.52173913043478
170,2611002,2013,198.29615384615383
171,2611002,2014,202.85
172,2611002,2015,199.2782608695652
173,2611002,2016,203.416
174,2611002,2017,197.6
175,2611002,2018,203.86470588235292
176,2612455,2008,177.9090909090909
177,2612455,2009,186.64545454545453
178,2612455,2010,182.4842105263158
179,2612455,2011,186.11176470588236
180,2612455,2012,213.11875
181,2612455,2013,181.4333333333333
182,2612455,2014,182.53076923076924
183,2612455,2015,171.80666666666667
184,2612455,2016,172.6833333333333
185,2612455,2017,170.85555555555555
186,2612455,2018,185.26666666666665
187,2612554,2008,157.05172413793105
188,2612554,2009,161.81428571428572
189,2612554,2010,153.23333333333332
190,2612554,2011,162.14210526315787
191,2612554,2012,173.9875
192,2612554,2013,167.01666666666668
193,2612554,2014,178.875
194,2612554,2015,171.63333333333333
195,2612554,2016,174.38666666666668
