,Códigos dos Municípios,Nome dos Municípios,Anos,Porcentagem de Docentes com Formação Adequada no Fundamental,Porcentagem de Alunos do Ensino Fundamental em Escolas com Laboratório de Informática,Porcentagem de Alunos do Ensino Fundamental em Escolas com Acesso à Internet
224,2601904,Bezerros (PE),2011,NA,NA,NA
225,2601904,Bezerros (PE),2012,NA,NA,NA
226,2601904,Bezerros (PE),2013,46.2,64.53,56.39
227,2601904,Bezerros (PE),2014,41.7,62.17,77.7
228,2601904,Bezerros (PE),2015,53,47.6,91.75
229,2601904,Bezerros (PE),2016,56,52.67,85.18
230,2601904,Bezerros (PE),2017,60.1,39.42,90.4
231,2601904,Bezerros (PE),2018,NA,NA,NA
232,2602001,Bodocó (PE),2008,NA,NA,NA
233,2602001,Bodocó (PE),2009,NA,NA,NA
234,2602001,Bodocó (PE),2010,NA,NA,NA
235,2602001,Bodocó (PE),2011,NA,NA,NA
236,2602001,Bodocó (PE),2012,NA,NA,NA
237,2602001,Bodocó (PE),2013,25.1,20.33,61.25
238,2602001,Bodocó (PE),2014,22.1,16.8,64.55
239,2602001,Bodocó (PE),2015,23.3,17.34,69.59
240,2602001,Bodocó (PE),2016,25.2,17.74,65.18
241,2602001,Bodocó (PE),2017,25.7,17.65,73.33
242,2602001,Bodocó (PE),2018,NA,NA,NA
243,2602100,Bom Conselho (PE),2008,NA,NA,NA
244,2602100,Bom Conselho (PE),2009,NA,NA,NA
245,2602100,Bom Conselho (PE),2010,NA,NA,NA
246,2602100,Bom Conselho (PE),2011,NA,NA,NA
247,2602100,Bom Conselho (PE),2012,NA,NA,NA
248,2602100,Bom Conselho (PE),2013,27.6,71.57,59.36
249,2602100,Bom Conselho (PE),2014,29.1,68.86,61.14
250,2602100,Bom Conselho (PE),2015,27.8,68.86,40.88
251,2602100,Bom Conselho (PE),2016,27.9,64.93,38.21
252,2602100,Bom Conselho (PE),2017,26.2,56.54,36.69
253,2602100,Bom Conselho (PE),2018,NA,NA,NA
254,2602209,Bom Jardim (PE),2008,NA,NA,NA
255,2602209,Bom Jardim (PE),2009,NA,NA,NA
256,2602209,Bom Jardim (PE),2010,NA,NA,NA
257,2602209,Bom Jardim (PE),2011,NA,NA,NA
258,2602209,Bom Jardim (PE),2012,NA,NA,NA
259,2602209,Bom Jardim (PE),2013,38.6,65.05,81.3
260,2602209,Bom Jardim (PE),2014,30.4,61.19,78.91
261,2602209,Bom Jardim (PE),2015,31.4,58.95,86.37
262,2602209,Bom Jardim (PE),2016,30.3,62.26,87.97
263,2602209,Bom Jardim (PE),2017,32.2,49.99,90.01
264,2602209,Bom Jardim (PE),2018,NA,NA,NA
265,2602308,Bonito (PE),2008,NA,NA,NA
266,2602308,Bonito (PE),2009,NA,NA,NA
267,2602308,Bonito (PE),2010,NA,NA,NA
268,2602308,Bonito (PE),2011,NA,NA,NA
269,2602308,Bonito (PE),2012,NA,NA,NA
270,2602308,Bonito (PE),2013,46,91.42,61.42
271,2602308,Bonito (PE),2014,47.9,89.23,52.67
272,2602308,Bonito (PE),2015,46.6,82.61,72.83
