,codigo_do_municipio,ano,proficiencia_media_matematica
622,2605152,2014,199.9
623,2605152,2015,193.95333333333335
624,2605152,2016,200.66875000000002
625,2605152,2017,203.49166666666667
626,2605152,2018,229.86666666666667
627,2605202,2008,159.2942857142857
628,2605202,2009,162.471875
629,2605202,2010,165.1
630,2605202,2011,167.915625
631,2605202,2012,172.4741935483871
632,2605202,2013,160.03214285714284
633,2605202,2014,168.45
634,2605202,2015,164.20384615384617
635,2605202,2016,167.34285714285716
636,2605202,2017,172.83928571428572
637,2605202,2018,177.15625
638,2605301,2008,161.64883720930231
639,2605301,2009,172.80540540540542
640,2605301,2010,175.99166666666667
641,2605301,2011,191.40227272727273
642,2605301,2012,191.48048780487804
643,2605301,2013,182.4206896551724
644,2605301,2014,186.29032258064515
645,2605301,2015,194.2935483870968
646,2605301,2016,198.4787878787879
647,2605301,2017,207.5
648,2605301,2018,206.6
649,2605400,2008,165.13333333333333
650,2605400,2009,175.48
651,2605400,2010,172.54999999999998
652,2605400,2011,186.34
653,2605400,2012,187.79999999999998
654,2605400,2013,183.4
655,2605400,2014,187.5153846153846
656,2605400,2015,185.24444444444444
657,2605400,2016,200.3
658,2605400,2017,205.8625
659,2605400,2018,211.18571428571428
660,2605459,2008,170.2
661,2605459,2009,193.3
662,2605459,2010,196.1
663,2605459,2011,198.5
664,2605459,2012,209.6
665,2605459,2013,206.4
666,2605459,2014,209.4
667,2605459,2015,213.5
668,2605459,2016,231.0
669,2605459,2017,225.6
670,2605459,2018,220.6
671,2605509,2008,167.39999999999998
672,2605509,2009,177.725
673,2605509,2010,164.1
674,2605509,2011,173.3875
675,2605509,2012,184.7
676,2605509,2013,192.88333333333333
677,2605509,2014,181.35714285714286
678,2605509,2015,179.63333333333333
679,2605509,2016,181.96666666666667
680,2605509,2017,188.56
681,2605509,2018,206.4
682,2605608,2008,173.5
683,2605608,2009,179.30555555555554
684,2605608,2010,193.97272727272727
685,2605608,2011,218.78947368421052
686,2605608,2012,210.83529411764704
687,2605608,2013,203.86875
688,2605608,2014,209.14736842105265
689,2605608,2015,210.63684210526316
690,2605608,2016,211.9578947368421
691,2605608,2017,217.76315789473685
692,2605608,2018,225.4625
693,2605707,2008,162.3913043478261
694,2605707,2009,167.98695652173913
695,2605707,2010,168.60000000000002
696,2605707,2011,181.53571428571428
697,2605707,2012,185.91111111111113
698,2605707,2013,180.1086956521739
699,2605707,2014,186.3083333333333
700,2605707,2015,190.59333333333333
701,2605707,2016,187.84666666666666
702,2605707,2017,175.7705882352941
703,2605707,2018,196.27777777777777
704,2605806,2008,181.50666666666666
705,2605806,2009,188.75625
706,2605806,2010,197.18823529411765
707,2605806,2011,211.04375
708,2605806,2012,207.425
709,2605806,2013,206.5583333333333
710,2605806,2014,205.9416666666667
711,2605806,2015,214.80714285714288
712,2605806,2016,206.62307692307692
713,2605806,2017,200.74666666666664
714,2605806,2018,200.63333333333333
725,2606002,2008,161.66521739130434
726,2606002,2009,171.15166666666667
727,2606002,2010,163.29285714285714
728,2606002,2011,175.30862068965516
729,2606002,2012,177.66666666666666
730,2606002,2013,178.66
731,2606002,2014,182.38936170212764
732,2606002,2015,184.3913043478261
733,2606002,2016,185.74285714285713
734,2606002,2017,192.82926829268294
735,2606002,2018,203.21379310344827
736,2606101,2008,170.10384615384615
737,2606101,2009,168.5423076923077
738,2606101,2010,167.07777777777778
739,2606101,2011,179.9181818181818
740,2606101,2012,176.70000000000002
741,2606101,2013,176.40833333333333
742,2606101,2014,180.115
743,2606101,2015,183.03125
744,2606101,2016,178.44736842105263
745,2606101,2017,184.68823529411765
746,2606101,2018,212.21428571428572
747,2606200,2008,158.73214285714286
748,2606200,2009,155.41333333333333
749,2606200,2010,149.37333333333333
750,2606200,2011,173.36785714285716
751,2606200,2012,178.16551724137932
752,2606200,2013,170.86551724137934
753,2606200,2014,176.13666666666668
754,2606200,2015,180.3
755,2606200,2016,171.07999999999998
756,2606200,2017,176.36896551724138
757,2606200,2018,185.91500000000002
758,2606309,2008,164.98
759,2606309,2009,166.9
760,2606309,2010,159.26
761,2606309,2011,173.78
762,2606309,2012,186.44
763,2606309,2013,192.76
764,2606309,2014,206.0
765,2606309,2015,194.6
766,2606309,2016,195.35
767,2606309,2017,199.8
768,2606309,2018,209.5
769,2606408,2008,171.65400000000002
770,2606408,2009,176.93695652173915
771,2606408,2010,176.67560975609754
772,2606408,2011,194.0974358974359
773,2606408,2012,194.7948717948718
774,2606408,2013,180.08809523809524
775,2606408,2014,175.8725
776,2606408,2015,176.94827586206895
777,2606408,2016,180.30967741935484
778,2606408,2017,192.14814814814815
779,2606408,2018,200.96666666666667
780,2606507,2008,153.13076923076923
781,2606507,2009,157.79473684210527
782,2606507,2010,164.30588235294115
783,2606507,2011,174.9388888888889
784,2606507,2012,186.6208333333333
785,2606507,2013,165.72142857142856
786,2606507,2014,172.97222222222223
787,2606507,2015,170.93076923076922
788,2606507,2016,174.94285714285712
789,2606507,2017,174.96666666666667
790,2606507,2018,215.075
791,2606606,2008,153.95625
792,2606606,2009,164.13214285714284
793,2606606,2010,171.52380952380952
794,2606606,2011,190.04736842105262
795,2606606,2012,198.08823529411765
796,2606606,2013,183.0578947368421
797,2606606,2014,190.28823529411764
798,2606606,2015,191.83888888888887
799,2606606,2016,195.425
800,2606606,2017,204.39333333333335
801,2606606,2018,227.32222222222222
802,2606705,2008,174.41428571428574
803,2606705,2009,177.45999999999998
804,2606705,2010,179.16666666666666
805,2606705,2011,198.45
806,2606705,2012,197.8
807,2606705,2013,192.76666666666668
808,2606705,2014,203.325
809,2606705,2015,211.82
810,2606705,2016,209.65
811,2606705,2017,224.58571428571426
812,2606705,2018,215.9333333333333
813,2606804,2008,166.94871794871796
814,2606804,2009,172.82564102564103
815,2606804,2010,173.46428571428572
816,2606804,2011,175.21842105263158
817,2606804,2012,179.07999999999998
818,2606804,2013,173.47
819,2606804,2014,176.41794871794872
820,2606804,2015,175.60833333333332
821,2606804,2016,181.8815789473684
822,2606804,2017,188.23
823,2606804,2018,184.39714285714285
824,2606903,2008,161.61818181818182
825,2606903,2009,182.02
826,2606903,2010,184.60666666666665
827,2606903,2011,206.8181818181818
828,2606903,2012,201.96666666666667
829,2606903,2013,203.9416666666667
830,2606903,2014,204.97142857142856
831,2606903,2015,211.79166666666666
832,2606903,2016,222.1875
833,2606903,2017,209.0727272727273
834,2606903,2018,226.4
835,2607000,2008,164.28947368421052
836,2607000,2009,181.3941176470588
837,2607000,2010,170.3230769230769
838,2607000,2011,199.90769230769232
839,2607000,2012,206.06190476190477
